,success,timestep,world_x_mean,world_x_std,world_y_mean,world_y_std,world_z_mean,world_z_std,rot_x_mean,rot_x_std,rot_y_mean,rot_y_std,rot_z_mean,rot_z_std,open_gripper_mean,open_gripper_std
0,0,0,0.01022439838829192,0.009144264519182332,0.009742462847213829,0.012033727859000276,-0.008143134045763254,0.010868575616380051,0.05262959130827685,0.04605538378162808,0.005822766715696053,0.017116634009619915,-0.0053109221110918215,0.04686654306225933,0.9447047603133828,0.060166711008800076
1,0,1,0.008757010957434619,0.007961891552252808,0.009052840138487417,0.01279793018285688,-0.009889966515911345,0.011004018035238552,0.04266338523526319,0.03841255027574423,0.0018282282065845968,0.01597688564969106,0.0054096887103969185,0.047888641420815455,0.9536013326930954,0.06106181630497164
2,0,2,0.009245771321886436,0.010410778134308808,0.01095815860341491,0.014629134019556587,-0.010724781192464339,0.010868590630553124,0.05414017036904987,0.05165742997202963,-0.0019301579762111784,0.023856090438865857,-0.013458657786522487,0.06374395053189873,0.9496790091240778,0.07683344478752749
3,0,3,0.007982949853160358,0.009128238846490527,0.007874759036998092,0.011631214717121233,-0.010151788159915902,0.010710856931528097,0.04557193647831969,0.04451637213996912,-0.0032343255492983877,0.02289022331389596,-0.01045403029896471,0.05696508225267972,0.9432638557130794,0.1050917098542768
4,0,4,0.007857794442976069,0.009487079976062286,0.0066968241463048065,0.0107172887525984,-0.009018922391140582,0.010301159512964179,0.04139503325500703,0.04336960890043976,-0.004077718545419105,0.026323022913540405,-0.013872638200630928,0.057672781804389346,0.9376986158543036,0.11884920858667206
5,0,5,0.0077769600086766925,0.008576381522463672,0.005466662069618521,0.010782052614728234,-0.009150863102846752,0.010033119555922025,0.04089706460755388,0.04349527422401592,-0.0028628322602812155,0.02592280275023138,-0.011565464521116153,0.06732838005922773,0.9355602332526264,0.1316230494727588
6,0,6,0.007930429551984312,0.008581014142071507,0.004992959910793261,0.010557002182163365,-0.009000904821935513,0.009924183242715988,0.0394828176688174,0.04708656698031201,-0.003551402983917027,0.029403579987198007,-0.009867207107392306,0.06785365365726022,0.9294313778019783,0.14016540160984728
7,0,7,0.007745809222678033,0.00858300272771815,0.0050564670225388035,0.01134200443727246,-0.009095213709908206,0.01030900710000648,0.037255636421355404,0.04825274015192426,-0.0018087106942160367,0.029329719868678626,-0.009716636175529177,0.07360624258590566,0.9253413414225081,0.14345128728900364
8,0,8,0.007950011943350082,0.00850505345449956,0.004992355529290562,0.011260062506247597,-0.009316386143873347,0.010453400732315758,0.036339306370948524,0.048125798402311744,-0.0012564215838929149,0.028989363097281354,-0.01370108940021838,0.07857318149517584,0.9130330164316505,0.16475296797734598
9,0,9,0.008017547528693332,0.008506973564775104,0.004883173762720205,0.011698915434059017,-0.008750212672652583,0.010251667613261102,0.03711693736248564,0.04860831690106355,-0.0009277021155243133,0.029181398165524605,-0.014871443015100662,0.07956288353136379,0.9092910492029797,0.17187449243007621
10,0,10,0.008082883352021352,0.008125251166949664,0.005313015357723387,0.012267473008558164,-0.008433901443899359,0.010833251105958269,0.03542761063033426,0.046417177382527174,-0.00023596034303018286,0.028849858963599952,-0.015076577907201433,0.08310887710113957,0.9009996659985243,0.18301312945701118
11,0,11,0.00789700472487601,0.00820239902344487,0.006049251167595136,0.015031454861853614,-0.008266955091351398,0.010708971248803932,0.03609339832834183,0.0467721920355846,0.0005475753712695911,0.028899825884340785,-0.01706411694548678,0.09125445598097844,0.8969033605910556,0.1909401115353672
12,0,12,0.0077723809083835894,0.007581527614255487,0.006418462006675967,0.015644103556145397,-0.008494181216378412,0.010947437194960974,0.03532610516149955,0.04506250706198891,0.0013002193745401682,0.02879277452049951,-0.017330203588677952,0.09180617049094988,0.8923599145149651,0.19472940848582454
13,0,13,0.007828411152685009,0.008331105943907584,0.0071966406168382105,0.017015325209378214,-0.008771007242204623,0.011468892760804058,0.03532557235729793,0.045170742891626946,0.0006366034976673705,0.02905046556346845,-0.017408394474948838,0.09125745653321926,0.8874025345281414,0.2050413031935084
14,0,14,0.007781009014131488,0.008943629154806365,0.007971901907598142,0.018611587434272703,-0.008806340952331796,0.011226042481735988,0.034458388032784226,0.044790044499453084,0.0020158118921477348,0.028507397708297338,-0.018001783231725462,0.08908133689183327,0.8839592231243524,0.21151258830124836
15,0,15,0.007653209367075703,0.009007511725393887,0.007982108533579156,0.02006825176643948,-0.007671775836959763,0.011957468043758695,0.03321996380547454,0.04437122941553742,0.001817197380524218,0.02931879203815565,-0.01806967287063225,0.08746776901216169,0.8783650458793291,0.22047211022860072
16,0,16,0.007784477497965671,0.008892119022774883,0.008425884457484597,0.021168093816434586,-0.008105673677420702,0.01213805520414904,0.03326213059687841,0.04345863312102984,0.0025693276238971945,0.029879174993883543,-0.01636154596021032,0.08121702891360277,0.8728201454663927,0.21767693422743423
17,0,17,0.0075405452989531965,0.008686502724106083,0.007975852862957019,0.020644672524818854,-0.008367678425219826,0.011769180672495643,0.03232344508861362,0.04234272914531477,0.005186377433831584,0.03213325937879209,-0.018143022689171947,0.08023864521485435,0.8705719052384978,0.21138963605860175
18,0,18,0.007405497640761957,0.009058740700748434,0.007758102589344807,0.019513827268934237,-0.00810033564919482,0.011713057597702844,0.03149694332228634,0.04138920687256088,0.006261319669095132,0.03238452005629573,-0.016854561511531835,0.07619782926296084,0.8634669034689253,0.2207464699425826
