idx,success,timestep,world_x_mean,world_x_std,world_y_mean,world_y_std,world_z_mean,world_z_std,rot_x_mean,rot_x_std,rot_y_mean,rot_y_std,rot_z_mean,rot_z_std,open_gripper_mean,open_gripper_std
0,0,0,0.009162756302838894,0.0065320269618233655,0.020032383699385932,0.014082838945733133,-0.0060324766578669885,0.006630615777661876,0.0122092923539272,0.04176979794172114,0.0064343649388733555,0.017229201793534196,0.04588123591269952,0.10167466429709383,0.9774948070758408,0.03389235687927273
1,0,1,0.00859462382309799,0.00605627394405673,0.018712447087387056,0.014095456193306648,-0.006854990927196532,0.005765635271186805,0.01097133689120205,0.042268836652555375,0.005925353739591952,0.017241336405835174,0.03801934275744563,0.09449398239288537,0.9758412050454884,0.0366964558185903
2,0,2,0.009832271248812722,0.006377780911634123,0.020406049948902237,0.015033523970593848,-0.008473359553890046,0.006036179801246216,0.01743988021174303,0.050212324959104396,0.007701404645010451,0.017755055734690058,0.034428068419458696,0.11955823716403649,0.9759631528052896,0.04184534842089236
3,0,3,0.01012000673095039,0.006443199667982633,0.018486880299069215,0.014731219407870665,-0.009986111575682287,0.007359268786624567,0.010131514313794901,0.05106858092260815,0.005396477507306459,0.01883666392335767,0.04563606174253026,0.12753174969317688,0.9777228237054938,0.04657664727875626
4,0,4,0.011175849799363842,0.006914239295257328,0.016840128462297318,0.014724734931931027,-0.011033236457980988,0.00855318948213419,0.012210342981290586,0.05484305729967669,0.007090944195256776,0.019467053554750147,0.0486933161971403,0.14543904689714346,0.9760187609600818,0.05624023473173712
5,0,5,0.011300651149035225,0.007233335331623165,0.017170116042346296,0.016442405664627728,-0.011946141201934967,0.0092660854792074,0.015777588055417357,0.056818084184097686,0.009162802961009324,0.020911619412912287,0.053906943484732066,0.15252108329335806,0.9747345091552676,0.0651243093186549
6,0,6,0.012167567550511344,0.007369880234246979,0.0172117453707073,0.018405359106598025,-0.012978985590369163,0.009611364455380949,0.022439079932686498,0.06052766893140776,0.011132258222412972,0.021752595090915695,0.05257896207087177,0.15847413337330063,0.9693924408975615,0.06817074002057132
7,0,7,0.012312266076588247,0.007665287692784199,0.017261084630625756,0.018878402750262493,-0.01351088962383868,0.009768912298813461,0.027413007872566307,0.06166139872290873,0.014982502163988646,0.023597766845412642,0.04394190375188481,0.163565403897202,0.9659935807366639,0.07129644351474863
8,0,8,0.013214806352245355,0.008365403428902273,0.017824542019115912,0.02077131241937732,-0.014200595249236789,0.009907572303795634,0.030263859939750754,0.06541805244123637,0.01698986724751776,0.02663363934031102,0.03763458543464492,0.1694813904771527,0.9581623120477331,0.08214737118693201
9,0,9,0.013511995444589668,0.00914390273011264,0.017517668682939358,0.020060457942190926,-0.014868425369977244,0.009827167406205704,0.03665212263042728,0.068968457615232,0.01827032442227402,0.03060299648097867,0.028799505056185008,0.16447585332203135,0.9464524759809321,0.10029479953308917
10,0,10,0.013767958545690033,0.010242555935520325,0.018731383866137846,0.021760302461595007,-0.015401720175393804,0.010177645523806799,0.04101480580555896,0.06913824553482034,0.021092168120579246,0.03051850429520337,0.02351975479647847,0.16242409325131693,0.9322915767535076,0.13445713037873153
11,0,11,0.0136559309157203,0.011205599789408105,0.019692534913693178,0.0232598393623698,-0.015440330995269962,0.011031730205402704,0.0425689688018591,0.07018206667995615,0.023631230758980784,0.030065323088704885,0.015430155472488414,0.16095046119218503,0.9142075538408326,0.1743772585771149
12,0,12,0.013387730133641017,0.010795340683314109,0.019138430089039028,0.022178728356207926,-0.014774217750173298,0.011678585018831896,0.03936849172986237,0.06530669080951564,0.0248246869428065,0.03068706226628651,0.011575960294977516,0.15017437025074398,0.902598731206194,0.18321354664861414
13,0,13,0.013548388765881533,0.011098661276967035,0.019756822381080515,0.02209132216547015,-0.01450332438157982,0.01114886765616132,0.04134898474562193,0.06305083905617645,0.02488629228217903,0.03610777455070826,0.009992994017473434,0.13545019972454647,0.8847705555337018,0.20740331482027796
14,0,14,0.013246227690967432,0.010551192341069618,0.020280801485019637,0.02228603391568554,-0.013599498151041929,0.011636101712007291,0.041626768864537825,0.05943562941042146,0.02505145808578031,0.038735281499610696,0.01543787506028744,0.12424765423016088,0.865630991295112,0.22397964429615583
15,0,15,0.011592666504228214,0.01045741586214922,0.019559411485727395,0.02223181788300582,-0.012163868341470045,0.011190524312128684,0.03946162381479731,0.05719208046131184,0.02470720132620393,0.036926621267692424,0.01833288932292911,0.10914349929190689,0.8338594815529063,0.2481885076851745
16,0,16,0.011698331150135527,0.009140925288154196,0.019264246849979898,0.0224211248479422,-0.009836686274850334,0.01240786109051275,0.04011395667386117,0.052692783727619846,0.018274771925277152,0.03865385455657128,0.020948766861010566,0.09712857831062799,0.8001624400233537,0.28099833455100515
17,0,17,0.011162031501343374,0.00935337844522448,0.01954000485724443,0.022726141198652332,-0.007711654740916047,0.013262540049885625,0.040897891800306466,0.04996599245413169,0.013847064401982736,0.034937711672749665,0.024562280722750764,0.09143481025761709,0.7725493230695692,0.30427737626560575
18,0,18,0.010327541323940018,0.008847897979186526,0.01889077518157388,0.022556141913814495,-0.007297493008866824,0.010856908063046235,0.04043399531242591,0.04477395770953459,0.012351019406354214,0.0336332241045091,0.026288360740083963,0.08227700442793585,0.7703109537676431,0.2939242680148164
19,0,19,0.009712382421851778,0.008861879361059647,0.018130587562244033,0.021737776033852536,-0.006336282086248645,0.010844167318096416,0.03453112897619255,0.0402184283437584,0.011669096577485714,0.03591796669006246,0.027130828088527195,0.08107651437953062,0.7600390969784626,0.2910968668273499
